input_len,avg_conf_score
1,0.9951167106628418
2,0.9241966605186462
3,0.883082926273346
5,0.7737484574317932
6,0.8870084285736084
7,0.9961646199226379
8,0.9984939098358154
9,0.999941349029541
10,0.9929233193397522
11,0.9970768690109253
12,0.998665452003479
13,0.9989142417907715
14,0.9999526739120483
15,0.9927302002906799
16,0.9998944401741028
17,0.9995097517967224
18,0.9998982548713684
19,0.9985474348068237
20,0.9996762275695801
21,0.999855101108551
22,0.9992802739143372
23,0.9999433159828186
24,0.9998054504394531
25,0.9999609589576721
26,0.9999569654464722
27,0.9998291730880737
28,0.9999820590019226
29,0.9999576807022095
30,0.9999486207962036
31,0.999572217464447
32,0.9994765520095825
33,0.9999505877494812
34,0.9999572038650513
35,0.9999663233757019
36,0.99985671043396
37,0.9999465346336365
38,0.9997609853744507
39,0.9999274015426636
40,0.9999070763587952
41,0.9998974204063416
42,0.99997878074646
43,0.9999582171440125
44,0.9999825954437256
45,0.9999563694000244
46,0.9999490976333618
47,0.9998722672462463
48,0.9999197125434875
49,0.9999535083770752
50,0.999834418296814
51,0.9999327659606934
52,0.9995649456977844
53,0.9975911378860474
54,0.9985249638557434
55,0.9988287687301636
56,0.9948493838310242
57,0.994637668132782
58,0.9900903105735779
59,0.990796685218811
60,0.9896186590194702
61,0.9954935908317566
62,0.9833154082298279
63,0.9888007044792175
64,0.9902476072311401
65,0.9945436120033264
66,0.9956812858581543
67,0.9930709004402161
68,0.9912763237953186
69,0.99448561668396
70,0.9999037384986877
71,0.9999436736106873
72,0.9999752640724182
73,0.9999398589134216
74,0.9997150301933289
75,0.9996646642684937
76,0.9991911053657532
77,0.9999085068702698
78,0.9992978572845459
79,0.9999774098396301
80,0.9979496598243713
81,0.9991593360900879
82,0.9995865821838379
83,0.999658465385437
84,0.9987829327583313
85,0.9985849857330322
86,0.9987998604774475
87,0.9993045926094055
88,0.9947547912597656
89,0.9892179369926453
90,0.9752404093742371
91,0.9320708513259888
92,0.8832463026046753
93,0.9211434125900269
94,0.8995466828346252
95,0.8947884440422058
96,0.8799017071723938
97,0.9316434264183044
98,0.9081940054893494
99,0.89441978931427
100,0.9279226660728455
101,0.9129435420036316
102,0.9249235391616821
103,0.9040811657905579
104,0.9141924381256104
105,0.963925302028656
106,0.8921054601669312
107,0.9378151297569275
108,0.9249075055122375
109,0.9400485157966614
110,0.9727544784545898
111,0.9672303795814514
112,0.9887497425079346
113,0.9848012924194336
114,0.9959582090377808
115,0.9923145771026611
116,0.9987519979476929
117,0.9988461136817932
118,0.9986155033111572
119,0.9975361227989197
120,0.9953922629356384
121,0.9900447130203247
122,0.9932699799537659
123,0.9783304929733276
124,0.9882593750953674
125,0.9955679774284363
126,0.9923357367515564
127,0.9890769124031067
128,0.9922086596488953
129,0.9811018109321594
130,0.9547948241233826
131,0.9789209365844727
132,0.9775373935699463
133,0.9488029479980469
134,0.9236409664154053
135,0.8882214426994324
136,0.9018298983573914
137,0.9343198537826538
138,0.8883441090583801
139,0.8921213150024414
140,0.9559625387191772
141,0.9301303029060364
142,0.9233627915382385
143,0.9283034801483154
144,0.8857696056365967
145,0.9527239799499512
146,0.950589120388031
147,0.947632908821106
148,0.9707446694374084
149,0.935526967048645
150,0.9591565132141113
151,0.9734995365142822
152,0.9551202654838562
153,0.9700230956077576
154,0.9765570163726807
155,0.9469964504241943
156,0.980159342288971
157,0.9526931643486023
158,0.9484047889709473
159,0.9393482208251953
160,0.9305172562599182
161,0.9796093702316284
162,0.9477561712265015
163,0.9153631925582886
164,0.9240610599517822
165,0.9500141739845276
166,0.9576157927513123
167,0.9272197484970093
168,0.9220288991928101
169,0.8875048756599426
170,0.9427270293235779
171,0.9563464522361755
172,0.9494891166687012
173,0.9163839221000671
174,0.769325852394104
185,0.8907947540283203
191,0.7278748154640198
198,0.980847179889679
202,0.6475098133087158
207,0.7373772263526917
213,0.8140267133712769
217,0.695530116558075
225,0.5664944052696228
230,0.7016794681549072
234,0.7551639080047607
239,0.8978889584541321
244,0.7764648795127869
248,0.5759541988372803
252,0.6248606443405151
258,0.5032019019126892
265,0.7537290453910828
270,0.7026205658912659
271,0.7324484586715698
276,0.8071679472923279
280,0.8731775879859924
281,0.8137307167053223
283,0.8533539772033691
285,0.7713131308555603
286,0.8043075799942017
287,0.8641112446784973
288,0.7580555081367493
290,0.7443108558654785
292,0.8363121747970581
293,0.8943497538566589
294,0.8021711111068726
295,0.8228329420089722
296,0.7190029621124268
297,0.7963207364082336
298,0.8834736347198486
299,0.8619015216827393
300,0.6810524463653564
301,0.7511372566223145
302,0.8045620322227478
303,0.7357555627822876
304,0.7710766792297363
305,0.8194201588630676
306,0.7755686044692993
307,0.7685949802398682
308,0.7600449323654175
309,0.8067754507064819
310,0.7993093729019165
311,0.7710702419281006
312,0.8042511343955994
313,0.7766671180725098
314,0.7280560731887817
315,0.7861132621765137
316,0.8543543815612793
317,0.7532967925071716
318,0.8569450974464417
319,0.7380066514015198
320,0.7785285711288452
321,0.7766894698143005
322,0.7814220190048218
323,0.8244293928146362
324,0.7650489807128906
325,0.7784352898597717
326,0.79191654920578
327,0.7803884148597717
328,0.7684512138366699
329,0.7788394093513489
330,0.6968105435371399
331,0.7631534337997437
332,0.77733314037323
333,0.7576549649238586
334,0.7606983780860901
335,0.5919964909553528
336,0.7362412810325623
337,0.7780968546867371
338,0.8491830229759216
339,0.6876242160797119
340,0.7717089056968689
341,0.7382921576499939
342,0.6722961664199829
343,0.6843117475509644
344,0.6797371506690979
345,0.7145140171051025
346,0.7171853184700012
347,0.6164231896400452
348,0.516596794128418
350,0.8475934863090515
